lugar_ocurrencia ;presunto_delito;presunta_modalidad;rango_edad;nacionalidad;genero;fecha_infraccion
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;17/02/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;18/01/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;24/01/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;24/01/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;24/01/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;24/01/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;FEMENINO;27/01/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;05/02/2024
PICHINCHA;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;COLOMBIANA;FEMENINO;19/02/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;SIN_DATO;NO DETERMINADO;FEMENINO;28/02/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;SIN_DATO;NO DETERMINADO;FEMENINO;28/02/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;SIN_DATO;NO DETERMINADO;MASCULINO;28/02/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;SIN_DATO;NO DETERMINADO;MASCULINO;28/02/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;SIN_DATO;NO DETERMINADO;FEMENINO;28/02/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;SIN_DATO;NO DETERMINADO;FEMENINO;28/02/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;05/02/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;20/02/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;11/02/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;11/02/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;11/02/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;11/02/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;27/02/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;27/02/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;27/02/2024
GUAYAS;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;26/03/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;06/03/2024
PICHINCHA;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;01/04/2024
PICHINCHA;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;01/04/2024
GUAYAS;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;01/04/2024
GUAYAS;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;01/04/2024
PICHINCHA;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;RUANDÉS;MASCULINO;05/04/2024
AZUAY;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;22/04/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;FEMENINO;22/04/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;22/04/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;22/04/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;MASCULINO;22/04/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;22/04/2024
SIN_DATO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;22/04/2024
PICHINCHA;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;22/04/2024
CHIMBORAZO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;23/04/2024
AZUAY;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;23/04/2024
AZUAY;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;23/04/2024
AZUAY;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;23/04/2024
AZUAY;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;FEMENINO;23/04/2024
AZUAY;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;23/04/2024
PICHINCHA;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;23/04/2024
CHIMBORAZO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;23/04/2024
CHIMBORAZO;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;23/04/2024
AZUAY;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;23/04/2024
MANABÍ;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;ADULTOS;ECUATORIANA;MASCULINO;24/04/2024
COTOPAXI;COIP. ART. 213 TRÁFICO ILÍCITO DE MIGRANTES;NO APLICA;NNA;ECUATORIANA;MASCULINO;24/04/2024
